species,TempClass
Mesorhizobium sp. AR02,
Streptomyces sp. LBUM 1475,Mesophilic
Microbacterium sp. Y-01,
Streptomyces lincolnensis,Mesophilic
Streptomyces sp. SCUT-3,Mesophilic
Arthrobacter agilis,
Aeromonas veronii,
Chlamydomonas reinhardtii,
Microbacterium sp. Nx66,
Spiractinospora alimapuensis,
Pseudomonas sp. ZM23,Mesophilic
Stenotrophomonas sp. KCTC 12332,
Streptomyces olivoreticuli,Mesophilic
Brevibacterium aurantiacum,
Phenylobacterium zucineum,
Streptomyces sampsonii,Mesophilic
Sulfurifustis variabilis,
Rhizobium sp. S41,
Methylocaldum marinum,
Roseivivax marinus,
Leucobacter sp. NB 10,
Mumia sp. ZJ1417,
Pirellulimonas nuda,
Cystobacter fuscus,
Kribbella sp. CA-293567,
Kaistia sp. 32K,
Aeromicrobium chenweiae,
Rhizobium ruizarguesonis,
Brachybacterium kimchii,
Burkholderia glumae,
Rhizobacter sp. AJA081-3,
Panicum hallii,
Streptomyces pactum,Mesophilic
Xanthomonas fragariae,
Micropruina glycogenica,
Auraticoccus monumenti,
Oceanithermus profundus,Thermophilic
Planctomyces sp. SH-PL62,
Streptomyces sp. SAT1,Mesophilic
Mesorhizobium japonicum,
Kitasatospora albolonga,
Streptomyces sp. INR7,Mesophilic
Microbacterium sp. LKL04,
Bordetella sp. H567,
Physcomitrium patens,
Arthrobacter crystallopoietes,
Streptomyces sp. Jing01,Mesophilic
Delftia acidovorans,
Tessaracoccus aquimaris,
Sphingomonas panacis,
Solanum stenotomum,
Yimella sp. cx-51,
Leucobacter sp. H21R-36,
Hyphomicrobium nitrativorans,
Pusillimonas sp. DMV24BSW_D,
Cupriavidus necator,
Streptomyces nigra,Mesophilic
Flavobacterium sp. CS20,
Riemerella anatipestifer,
Eucalyptus grandis,
Arsenicicoccus sp. oral taxon 190,
Streptomyces cyaneochromogenes,Mesophilic
Streptomyces sp. 3214.6,Mesophilic
Olivibacter sp. SDN3,
Rhizobium etli,
Rubrivivax gelatinosus,
Allokutzneria albata,
Agrobacterium vitis,
Telopea speciosissima,
Streptomyces parvulus,Mesophilic
Skermanella pratensis,
Streptomyces exfoliatus,Mesophilic
Xylophilus rhododendri,
Hyphomicrobium denitrificans,
Aeromonas caviae,
Streptomyces pristinaespiralis,Mesophilic
Prescottella equi,
Aeromicrobium sp. Leaf245,
Sphingomonas sp. MM-1,
Benincasa hispida,
Comamonas sp. C11,
Rhizobacter gummiphilus,
Geobacter sulfurreducens,
Nakamurella panacisegetis,
Stenotrophomonas sp. DR822,
Streptomyces sp. HL-66,Mesophilic
Frondihabitans sp. 762G35,
Tsukamurella pulmonis,
Aureimonas populi,
Aurantiacibacter sp. MUD11,
Halomonas sp. 3H,
Glycine max,
Agromyces sp. LHK192,
Saccharomonospora cyanea,
Paenibacillus dendritiformis,
Sinorhizobium americanum,
Achromobacter ruhlandii,
Nocardioides sp. B-3,
Saccharomonospora marina,
Streptomyces sp. GS7,Mesophilic
Mycolicibacterium chitae,
Nocardioides sp. WS12,
Amycolatopsis sp. AA4,
Nymphaea colorata,
Streptomyces tirandamycinicus,Mesophilic
Microbacterium terricola,
Kribbella flavida,
Mycolicibacterium sediminis,
Aeromicrobium yanjiei,
Alloactinosynnema sp. L-07,
Amycolatopsis aidingensis,
Luteolibacter luteus,
Quercus robur,
Phreatobacter cathodiphilus,
Streptomyces sp. MA3_2.13,Mesophilic
Microvirga ossetica,
Stigmatella aurantiaca,
Halotalea alkalilenta,
Streptomyces antibioticus,Mesophilic
Pedococcus dokdonensis,
Novosphingobium resinovorum,
Aeromicrobium sp. A1-2,
Streptomyces fradiae,Mesophilic
Pseudoduganella albidiflava,
Thauera humireducens,
Microbacterium caowuchunii,
Persicimonas caeni,
Streptomyces griseorubiginosus,Mesophilic
Ferribacterium limneticum,
Streptomyces thermocarboxydus,Mesophilic
Agromyces protaetiae,
Microbacterium resistens,
Pseudomonas phenolilytica,Mesophilic
Xanthomonas prunicola,
Cryobacterium sp. LW097,
Ancylobacter sp. TS-1,
Streptomyces sp. P3,Mesophilic
Dioscorea cayenensis,
Pseudomonas resinovorans,Mesophilic
Streptomyces sp. CB01881,Mesophilic
Agromyces intestinalis,
Mycobacterium paraintracellulare,
Mesorhizobium sp. B4-1-4,
Streptomyces griseochromogenes,Mesophilic
Conexibacter sp. DBS9H8,
Elioraea tepida,
Diaphorobacter sp. JS3050,
Streptomyces sp. Z423-1,Mesophilic
Arthrobacter alpinus,
Streptomyces sp. CA-210063,Mesophilic
Brevundimonas diminuta,
Methylacidimicrobium sp. AP8,
Kerstersia gyiorum,
Cellvibrio sp. KY-GH-1,
Pseudomonas protegens,Mesophilic
Nocardia wallacei,
Tsukamurella paurometabola,
Belliella baltica,
Ornithinimicrobium ciconiae,
Elizabethkingia anophelis,
Melaminivora suipulveris,
Streptomyces fodineus,Mesophilic
Rathayibacter sp. VKM Ac-2760,
Kocuria palustris,
Actinopolymorpha singaporensis,
Tessaracoccus palaemonis,
Streptomyces gobiensis,Mesophilic
Nakamurella multipartita,
Luteibacter pinisoli,
Streptomyces sp. YPW6,Mesophilic
Sphingomonas melonis,
Diospyros lotus,
Microbacterium azadirachtae,
Streptomyces chromofuscus,Mesophilic
Arachis hypogaea,
Frondihabitans sp. PAMC 28766,
Humibacter ginsenosidimutans,
Corallococcus macrosporus,
Streptomyces actuosus,Mesophilic
Brachybacterium avium,
Curtobacterium sp. MR_MD2014,
Leifsonia shinshuensis,
Microvirga sp. VF16,
Serinicoccus profundi,
Sagittula sp. P11,
Streptomyces phaeoluteigriseus,Mesophilic
Janibacter sp. CX7,
Streptomyces sp. Go-475,Mesophilic
Epidermidibacterium keratini,
Rhodanobacter thiooxydans,
Mycobacterium sp. 20KCMC460,
Saccharopolyspora gloriosae,
Streptomyces ferrugineus,Mesophilic
Kocuria rhizophila,
Nocardioides coralli,
Phenylobacterium sp. NIBR 498073,
Aureimonas sp. AU20,
Streptomyces roseirectus,Mesophilic
Streptomyces sp. S465,Mesophilic
Candidatus Thiodictyon syntrophicum,
Streptomyces sp. HUAS 13-4,Mesophilic
Streptomyces xinghaiensis,Mesophilic
Glutamicibacter arilaitensis,
Clostridium botulinum,Mesophilic
Pseudoduganella armeniaca,
Kitasatospora sp. YST-16,
Rhodococcus sp. 75,
Parageobacillus thermoglucosidasius,Thermophilic
Roseovarius indicus,
Halorhodospira halophila,
Sulfuritortus calidifontis,
Streptomyces liliifuscus,Mesophilic
Mesorhizobium sp. M8A.F.Ca.ET.057.01.1.1,
Streptomyces qaidamensis,Mesophilic
Corynebacterium sphenisci,
Jiella sp. HL-NP1,
Mesorhizobium sp. B2-1-8,
Sphaerotilus sp. FB-5,
Ralstonia mannitolilytica,
Thiohalobacter thiocyanaticus,
Streptomyces fungicidicus,Mesophilic
Pseudomonas phragmitis,Mesophilic
Sorghum bicolor,
Mameliella alba,
Sphingobium baderi,
endosymbiont of unidentified scaly snail isolate Monju,
Daucus carota,
Egibacter rhizosphaerae,
Dermacoccus sp. PAMC28757,
Agromyces laixinhei,
Methylococcus sp. Mc7,
Stenotrophomonas sp. WZN-1,
Streptomyces sp. GQFP,Mesophilic
Saccharopolyspora pogona,
Burkholderia ambifaria,
Solanum lycopersicum,
Streptomyces sp. GMY02,Mesophilic
Rhodocaloribacter litoris,
Skermanella mucosa,
Azospira restricta,
Thermothielavioides terrestris,
Agromyces badenianii,
Ornithinimicrobium sp. HY1793,
Rubrobacter marinus,
Arachis ipaensis,
Conexibacter sp. S30A1,
Bradyrhizobium sp. 200,
Melittangium boletus,
Alcanivorax sp. ALC70,
Rhodococcus aetherivorans,
Pseudothauera hydrothermalis,
Streptomyces sp. FIT100,Mesophilic
Plantibacter sp. PA-3-X8,
Thauera sp. WB-2,
Leifsonia sp. PS1209,
Lupinus angustifolius,
Paenibacillus mucilaginosus,
Paracoccus everestensis,
Rhodovulum sulfidophilum,
Streptomyces sp. JB150,Mesophilic
Arthrobacter sulfonylureivorans,
Aureimonas sp. SA4125,
Luteibacter sp. 353,
Streptomyces koyangensis,Mesophilic
Streptomyces lunaelactis,Mesophilic
Streptomyces sp. CB00271,Mesophilic
Corynebacterium xerosis,
Indioceanicola profundi,
Curtobacterium sp. BH-2-1-1,
Leifsonia xyli,
Paenibacillus albicereus,
Brachypodium distachyon,
Brevibacillus composti,
Cucumis melo,
Streptomyces sp. W1SF4,Mesophilic
Amycolatopsis sp. FU40,
Pseudonocardia sp. EC080625-04,
Clostridium butyricum,Mesophilic
Devosia beringensis,
Janibacter sp. YB324,
Rhodococcus gordoniae,
Acidovorax monticola,
Pseudomonas sp. Q1-7,Mesophilic
Streptomyces sp. SirexAA-E,Mesophilic
Salinibacterium sp. dk2585,
Streptomyces antimycoticus,Mesophilic
Streptomyces sp. So13.3,Mesophilic
Aminobacter sp. SR38,
Sphingobium yanoikuyae,
Streptomyces yangpuensis,Mesophilic
Frigoriglobus tundricola,
Streptacidiphilus sp. PB12-B1b,
Microlunatus soli,
Streptomonospora litoralis,
Cohnella sp. LGH,
Roseibium sp. Sym1,
Cellvibrio sp. PSBB023,
Streptomyces sp. MST-110588,Mesophilic
Streptomyces sp. NEAU-sy36,Mesophilic
Curtobacterium sp. L6-1,
Urbifossiella limnaea,
Streptomyces aureoverticillatus,Mesophilic
Rathayibacter sp. VKM Ac-2801,
Truepera radiovictrix,
Streptomyces ficellus,Mesophilic
Gryllotalpicola protaetiae,
Dietzia sp. B32,
Acidipropionibacterium acidipropionici,
Hydrogenibacillus sp. N12,
Aureimonas altamirensis,
Chryseobacterium sp. POL2,
Martelella sp. AD-3,
Azorhizobium caulinodans,
Pseudolabrys taiwanensis,
Wenzhouxiangella marina,
Stenotrophomonas sp. NY11291,
Streptomyces sp. HM190,Mesophilic
Microbacterium sp. SSW1-51,
Echinicola marina,
Streptomyces tubbatahanensis,Mesophilic
Gordonia rubripertincta,
Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1,
Thioalkalivibrio sp. K90mix,
Deinococcus irradiatisoli,
Achromobacter pestifer,
Ancylobacter polymorphus,
Novosphingobium aromaticivorans,
Plantibacter sp. M259,
Immundisolibacter cernigliae,
Xanthobacter sp. YC-JY1,
Sphingomonas sp. CV7422,
Macadamia integrifolia,
Pseudomonas sp. phDV1,Mesophilic
Caldinitratiruptor microaerophilus,
Tepidiforma sp. YIM 72310,
Luteibacter rhizovicinus,
Kitasatospora aureofaciens,
Celeribacter indicus,
Microbulbifer sp. YPW16,
Microcella alkaliphila,
Caulobacter vibrioides,
Bosea sp. NBC_00436,
Pseudomonas parafulva,Mesophilic
Burkholderia contaminans,
Aeromonas hydrophila,
Streptomyces sp. MRC013,Mesophilic
Rhodococcus sp. X156,
Bacillus smithii,
Youhaiella tibetensis,
Streptomyces cadmiisoli,Mesophilic
Streptomyces dangxiongensis,Mesophilic
Microbacterium oryzae,
Deinococcus soli (ex Cha et al. 2016),
Azospirillum sp. TSH100,
Sphingomonas naphthae,
Aromatoleum petrolei,
Streptomyces griseocarneus,Mesophilic
Streptomyces rectiverticillatus,Mesophilic
Streptomyces rimosus,Mesophilic
Demequina sp. TMPB413,
Rhodococcus ruber,
Streptomyces durmitorensis,Mesophilic
Pseudomonas entomophila,Mesophilic
Dyella japonica,
Zymoseptoria tritici,
Actinomyces naeslundii,
Paradevosia shaoguanensis,
Paracoccus denitrificans,
Rhodovastum atsumiense,
Massilia antarctica,
Roseimicrobium sp. ORNL1,
Streptomyces lienomycini,Mesophilic
Streptomyces sp. NA04227,Mesophilic
Streptomyces sp. RerS4,Mesophilic
Streptomyces sp. Tu 2975,Mesophilic
Paenibacillus glucanolyticus,
Frankia sp. ArI3,
Janibacter limosus,
Curtobacterium sp. Csp1,
Tsukamurella sp. PLM1,
Tessaracoccus sp. MC1865,
Streptomyces sp. HUAS 14-6,Mesophilic
Amycolatopsis orientalis,
Pseudorhizobium flavum,
Xanthomonas sp. GW,
Verrucomicrobium spinosum,
Streptomyces broussonetiae,Mesophilic
Bosea vaviloviae,
Streptomyces sp. NA02536,Mesophilic
Leifsonia sp. 21MFCrub1.1,
Mesorhizobium sp. AA22,
Nitrosomonas europaea,
Pseudolabrys sp. FHR47,
Nitrospirillum amazonense,
Caulobacter sp. NIBR2454,
Methylobacterium sp. FF17,
Streptomyces hundungensis,Mesophilic
Massilia sp. HC52,
Streptomyces sp. HUAS 2-6,Mesophilic
Streptomyces sp. MMBL 11-1,Mesophilic
Microbacterium sp. SSW1-36,
Devosia sp. MC521,
Acidihalobacter aeolianus,
Mycobacterium goodii,
Starkeya novella,
Lautropia mirabilis,
Streptomyces sp. Go40/10,Mesophilic
Streptomyces sp. HP-A2021,Mesophilic
Mycobacterium holsaticum,
Mycolicibacterium neoaurum,
Methylobacterium oryzae,
Starkeya sp. ORNL1,
Streptomyces kanamyceticus,Mesophilic
Kroppenstedtia eburnea,
Phycisphaera mikurensis,
Streptomyces asoensis,Mesophilic
Streptomyces sp. NA02950,Mesophilic
Methylobacterium nodulans,
Roseibium aggregatum,
Impatiens glandulifera,
Solanum pennellii,
Microbacterium wangchenii,
Massilia oculi,
Streptomyces glaucescens,Mesophilic
Breoghania sp. L-A4,
Hydrogenophaga sp. YM1,
Streptomyces sp. HF10,Mesophilic
Mycobacteroides abscessus,Mesophilic
Sinorhizobium sp. BG8,
Prauserella marina,
Bacillus anthracis,
Paenibacillus urinalis,
Aquabacterium sp. J223,
Lysobacter sp. HDW10,
Luteolibacter sp. SL250,
Aromatoleum bremense,
Kitasatospora sp. HUAS 3-15,
Streptomyces sp. WA1-19,Mesophilic
Microbacterium sp. M28,
Paenibacillus lentus,
Variovorax sp. PBL-H6,
Pseudomonas paraeruginosa,Mesophilic
Streptomyces griseofuscus,Mesophilic
Humisphaera borealis,
Alienimonas californiensis,
Mesorhizobium sp. 131-3-5,
Caldimonas brevitalea,
Streptomyces subrutilus,Mesophilic
Streptomyces xanthii,Mesophilic
Cytobacillus oceanisediminis,
Marinithermus hydrothermalis,Thermophilic
Bosea sp. F3-2,
Luteitalea pratensis,
Streptomyces sp. SCSIO ZS0520,Mesophilic
Nocardia nova,
Paracoccus sanguinis,
Schlegelella aquatica,
Brucella abortus,
Methylobacterium brachiatum,
Labrys sp. KNU-23,
Myxococcus sp. SCHIC003,
Opitutus sp. GAS368,
Tellurirhabdus rosea,
Massilia sp. WG5,
Actinosynnema mirum,
Streptomyces sp. RTd22,Mesophilic
Bradyrhizobium sp. CW1,
Massilia forsythiae,
Streptomyces aquilus,Mesophilic
Virgibacillus pantothenticus,
Gemmata obscuriglobus,
Methylosinus trichosporium,
Streptomyces sp. CMB-StM0423,Mesophilic
Stappia sp. ES.058,
Salipiger profundus,
Parazoarcus communis,
Ruania halotolerans,
Brevibacillus marinus,
Sphingomonas glaciei,
Thioalkalivibrio nitratireducens,
Halomonas sp. M4R1S46,
Quercus lobata,
Leucobacter sp. CX169,
Pikeienuella piscinae,
Kineobactrum salinum,
Bradyrhizobium canariense,
Aquabacterium olei,
Alcanivorax sp. N3-2A,
Streptomyces incarnatus,Mesophilic
Acidovorax sp. YS12,
Halalkalibacterium halodurans,
Tepidiforma bonchosmolovskayae,
Novosphingobium sp. Sx8-5,
Pyxidicoccus sp. SCPEA002,
Camelina sativa,
Herbaspirillum seropedicae,
Streptomyces qinzhouensis,Mesophilic
Rhodococcus sp. PBTS 1,
Solicola gregarius,
Croceibacterium atlanticum,
Novosphingobium pentaromativorans,
Cupriavidus campinensis,
Carya illinoinensis,
Streptomyces capitiformicae,Mesophilic
Streptomyces nodosus,Mesophilic
Ideonella dechloratans,
Roseateles sp. BIM B-1768,
Azoarcus sp. KH32C,
Brachybacterium sp. SGAir0954,
Methylobacterium sp. 17Sr1-1,
Thiocapsa bogorovii,
Pseudomonas oleovorans,Mesophilic
Actinomyces sp. oral taxon 171,
Streptomyces sp. HSG2,Mesophilic
Microbacterium sp. CGR1,
Flavobacterium columnare,
Micromonospora sp. L5,
Mycobacterium sp. IDR2000157661,
Paenibacillus sp. RUD330,
Halopseudomonas aestusnigri,Mesophilic
Jannaschia sp. W003,
Sphingopyxis sp. MG,
Gossypium raimondii,
Clavibacter zhangzhiyongii,
Microbacterium sp. SGAir0570,
Microbacterium sp. Se63.02b,
Chryseolinea soli,
Sphingobium cloacae,
Wenzhouxiangella sp. AB-CW3,
Halomonas sp. Y3,
Streptomyces leeuwenhoekii,Mesophilic
Mycobacterium sp. SMC-8,
Geobacillus stearothermophilus,Thermophilic
Croceicoccus marinus,
Bordetella holmesii,
Methanobrevibacter olleyae,
Streptomyces fagopyri,Mesophilic
Chryseoglobus indicus,
Acidovorax sp. T1,
Streptomyces sp. TN58,Mesophilic
Streptomyces tuirus,Mesophilic
Salinibacterium sp. UTAS2018,
Paralcaligenes sp. KSB-10,
Pseudomonas hydrolytica,Mesophilic
Streptomyces alfalfae,Mesophilic
Streptomyces sp. M92,Mesophilic
Agrobacterium fabacearum,
Ancylobacter pratisalsi,
Schaalia odontolytica,
Streptomyces tanashiensis,Mesophilic
Kribbella qitaiheensis,
Rhodoplanes sp. Z2-YC6860,
Bradyrhizobium japonicum,
Sphingomonas sp. CL5.1,
Streptomyces cyaneogriseus,Mesophilic
Streptomyces pratensis,Mesophilic
Streptomyces sp. 891-h,Mesophilic
Pseudorhizobium banfieldiae,
Pseudomonas sp. MTM4,Mesophilic
Streptomyces atratus,Mesophilic
Corallococcus coralloides,
Juglans regia,
Streptomyces deccanensis,Mesophilic
Streptomyces sp. XC 2026,Mesophilic
Allobranchiibius sp. GilTou73,
Propionibacterium freudenreichii,
Sphingobacterium hotanense,
Setaria viridis,
Arthrobacter sp. ERGS1:01,
Paenibacillus macerans,
Halomonas aestuarii,
Bradyrhizobium sp. BTAi1,
Ensifer alkalisoli,
Sphingopyxis macrogoltabida,
Pseudomonas oryzihabitans,Mesophilic
Mycolicibacterium fallax,
Roseomonas sp. S08,
Streptomyces spongiicola,Mesophilic
Microbacterium sp. EF45044,
Clostridium perfringens,Mesophilic
Phenylobacterium sp. LH3H17,
Streptomyces gardneri,Mesophilic
Streptomyces sp. LRE541,Mesophilic
Saccharopolyspora spinosa,
Caulobacter soli,
Thioalkalivibrio paradoxus,
Populus trichocarpa,
Streptomyces vietnamensis,Mesophilic
Azospirillum thiophilum,
Xanthomonas sp. SS,
Vigna angularis,
Streptomyces sp. HUAS 31,Mesophilic
Streptomyces sp. S1D4-20,Mesophilic
Streptomyces sp. SUK 48,Mesophilic
Caulobacter sp. NIBR1757,
Leptothrix cholodnii,
Streptomyces sp. Caat 7-52,Mesophilic
Paenibacillus sp. PSB04,
Rhodobacter sp. LPB0142,
Paraburkholderia aromaticivorans,
Tepidimonas taiwanensis,
Acidovorax sp. HDW3,
Cyclobacterium amurskyense,
Flavobacterium sp. CECT 9288,
Cupriavidus cauae,
Massilia putida,
Microbacterium testaceum,
Bradyrhizobium lablabi,
Ensifer mexicanus,
Streptomyces auratus,Mesophilic
Streptomyces phaeolivaceus,Mesophilic
Paenarthrobacter ureafaciens,
Rhodococcus sp. SGAir0479,
Kiritimatiella glycovorans,
Flavobacterium sediminis,
Magnetospirillum sp. ME-1,
Cannabis sativa,
Mycobacterium lacus,
Mycolicibacterium poriferae,
Ancylobacter sp. SL191,
Usitatibacter rugosus,
Streptomyces sp. MOE7,Mesophilic
Curtobacterium sp. TXMA1,
Microbacterium sp. CBA3102,
Microbacterium sp. PAMC 28756,
Arthrobacter sp. KBS0702,
Tsukamurella tyrosinosolvens,
Propionibacterium acidifaciens,
Geobacillus sp. 47C-IIb,Thermophilic
Aerococcus urinaeequi,
Rhodobacter sp. CZR27,
Novosphingobium decolorationis,
Oryza sativa,
Streptomyces gilvosporeus,Mesophilic
Streptomyces inhibens,Mesophilic
Streptomyces sp. AMCC400023,Mesophilic
Paenarthrobacter sp. YJN-D,
Cynara cardunculus,
Malus domestica,
Microbacterium protaetiae,
Paracoccus stylophorae,
Paenibacillus lycopersici,
Marivirga tractuosa,
Methylobacterium organophilum,
Georhizobium profundi,
Cupriavidus nantongensis,
Coffea eugenioides,
Salvia splendens,
Bremerella volcania,
Streptomyces avermitilis,Mesophilic
Bradyrhizobium sp. 195,
Magnetospirillum gryphiswaldense,
Erythrobacter sp. 3-20A1M,
Thermochromatium tepidum,
Pseudomonas eucalypticola,Mesophilic
Actinacidiphila bryophytorum,
Brevundimonas naejangsanensis,
Microbulbifer elongatus,
Rhodanobacter glycinis,
Streptomyces rutgersensis,Mesophilic
Streptomyces sp. QHH-9511,Mesophilic
Dietzia lutea,
Mycobacterium saskatchewanense,
Weizmannia coagulans,
Mitsuaria sp. 7,
Luteibacter sp. 335,
Mycolicibacterium celeriflavum,
Burkholderia sp. DHOD12,
Acidihalobacter ferrooxydans,
Roseomonas marmotae,
Streptomyces davaonensis,Mesophilic
Rhodococcus sp. W8901,
Rathayibacter sp. VKM Ac-2762,
Mycolicibacterium rutilum,
Paenibacillus naphthalenovorans,
Planctomyces sp. SH-PL14,
Devosia sp. JXJ CY 41,
Paroceanicella profunda,
Streptomyces cavourensis,Mesophilic
Rathayibacter sp. VKM Ac-2759,
Arachidicoccus sp. BS20,
Methylobacterium tardum,
Idiomarina sp. OT37-5b,
Clavibacter californiensis,
Mycobacterium rufum,
Flammeovirga yaeyamensis,
Mesorhizobium sp. NZP2077,
Erythrobacter sp. JK5,
Streptomyces akebiae,Mesophilic
Flavobacterium sp. KACC 22758,
Bradyrhizobium sediminis,
Acinetobacter johnsonii,
Luteibacter flocculans,
Streptomyces sp. Rer75,Mesophilic
Mycolicibacterium chubuense,
Rhizobium phaseoli,
Sediminicoccus rosea,
Sinimarinibacterium sp. NLF-5-8,
Pseudomonas alkylphenolica,Mesophilic
Streptomyces nitrosporeus,Mesophilic
Curtobacterium sp. SGAir0471,
Bosea sp. AS-1,
Sphingomonas cannabina,
Hydrogenophaga sp. NH-16,
Mercurialis annua,
Streptomyces sp. BHT-5-2,Mesophilic
Phreatobacter sp. NMCR1094,
Paraburkholderia tropica,
Variovorax sp. RA8,
Pseudomonas monteilii,Mesophilic
Streptomyces sp. NA13,Mesophilic
