species,TempClass
Halomonas meridiana,
Mesorhizobium ciceri,
Pseudomonas citronellolis,Mesophilic
Azospirillum argentinense,
Frankia sp. QA3,
Solimonas sp. K1W22B-7,
Sinorhizobium meliloti,
Pseudomonas otitidis,Mesophilic
Amycolatopsis albispora,
Frateuria sp. 5GH9-34,
Kutzneria sp. CA-103260,
Bordetella pseudohinzii,
Skermanella sp. TT6,
Amycolatopsis sp. YIM 10,
Streptomyces collinus,Mesophilic
Aeromicrobium marinum,
Marmoricola scoriae,
Nocardioides rotundus,
Microcella flavibacter,
Microvirga sp. R24,
Azotobacter chroococcum,
Pseudomonas syringae,Mesophilic
Nocardioides cynanchi,
Kocuria flava,
Kaustia mangrovi,
Streptomyces mobaraensis,Mesophilic
Mesorhizobium sp. 131-2-5,
Citricoccus sp. SGAir0253,
Ornithinimicrobium pratense,
Microlunatus sagamiharensis,
Pseudonocardia dioxanivorans,
Cellvibrio japonicus,
Bordetella sp. N,
Sphaerotilus sulfidivorans,
Mesorhizobium sp. B2-1-1,
Nitratireductor kimnyeongensis,
Aquisalimonas sp. 2447,
Stenotrophomonas sp. ESTM1D_MKCIP4_1,
Psychroserpens sp. NJDZ02,
Kutzneria chonburiensis,
Paenibacillus sp. 32O-W,
Aquincola tertiaricarbonis,
Microbacterium sp. XT11,
Mycolicibacterium litorale,
Amycolatopsis sp. CA-230715,
Pseudonocardia sp. HH130630-07,
Myroides odoratimimus,
Elaeis guineensis,
Peterkaempfera bronchialis,
Microbacterium luteum,
Microbacterium sp. H1-D42,
Microbacterium sp. KUDC0406,
Pseudonocardia autotrophica,
Thermoleophilum album,
Roseomonas mucosa,
Luteitalea sp. TBR-22,
Pseudonocardia sp. HH130629-09,
Comamonas aquatica,
Amycolatopsis sp. WQ 127309,
Clostridioides difficile,
Cupriavidus gilardii,
Ruania zhangjianzhongii,
Pseudonocardia sp. AL041005-10,
Microbacterium cremeum,
Stackebrandtia nassauensis,
Streptomyces sp. BH-MK-02,Mesophilic
Mesorhizobium onobrychidis,
Streptomyces cinereoruber,Mesophilic
Streptomyces formicae,Mesophilic
Streptomyces genisteinicus,Mesophilic
Brevibacterium luteolum,
Aminobacter sp. NyZ550,
Mesorhizobium australicum,
Hydrogenophaga sp. PBC,
Nocardioides aquaticus,
Halopseudomonas litoralis,Mesophilic
Modestobacter marinus,
